INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
10 Durango,Mujeres,80-84 años,"6,288",650,422,523,637,350,322,142,274,0,266,0,844,"1,858",0
10 Durango,Mujeres,85-89 años,"3,194",363,234,264,299,186,144,58,128,0,156,0,439,923,0
10 Durango,Mujeres,90-94 años,"1,110",154,77,99,118,45,51,21,58,0,43,0,144,300,0
10 Durango,Mujeres,95-99 años,417,66,25,33,44,26,15,10,26,0,21,0,39,112,0
10 Durango,Mujeres,100 años y más,151,34,18,15,17,8,4,2,10,0,8,0,10,25,0
10 Durango,Mujeres,No especificado,"14,205",306,110,195,303,229,181,39,325,0,"1,468",0,"1,788","9,261",0
11 Guanajuato,Total,Total,"5,486,372","321,462","311,844","449,919","567,943","251,033","173,504","99,868","316,279","288,322","585,739","160,169","721,328",0,"1,238,962"
11 Guanajuato,Total,00-04 años,"547,466","34,849","34,573","48,811","62,202","26,933","18,020","9,890","32,624","29,614","53,824","13,202","65,587",0,"117,337"
11 Guanajuato,Total,05-09 años,"579,121","36,773","35,796","50,178","64,057","27,870","18,944","10,479","34,696","31,062","57,767","14,167","70,179",0,"127,153"
11 Guanajuato,Total,10-14 años,"580,600","38,396","36,930","51,176","63,827","27,346","18,812","10,439","33,268","30,312","58,186","14,643","71,252",0,"126,013"
11 Guanajuato,Total,15-19 años,"570,965","36,297","35,577","49,874","61,883","26,700","18,604","10,788","32,009","29,856","58,343","14,725","69,802",0,"126,507"
11 Guanajuato,Total,20-24 años,"493,167","27,666","27,173","39,815","51,575","22,706","15,379","9,068","27,921","25,925","54,102","13,984","64,430",0,"113,423"
11 Guanajuato,Total,25-29 años,"425,291","21,806","22,194","32,515","43,102","19,566","12,959","7,123","24,844","22,667","45,703","12,266","57,180",0,"103,366"
11 Guanajuato,Total,30-34 años,"407,712","21,140","20,935","30,958","41,150","18,502","12,501","6,893","24,864","21,769","43,578","12,373","55,382",0,"97,667"
11 Guanajuato,Total,35-39 años,"387,687","19,214","19,129","28,521","36,698","16,864","11,879","6,719","23,245","20,573","42,187","12,523","55,659",0,"94,476"
11 Guanajuato,Total,40-44 años,"324,654","16,130","15,554","23,200","29,758","13,764","9,987","5,883","19,073","16,969","36,491","11,189","47,206",0,"79,450"
11 Guanajuato,Total,45-49 años,"266,465","13,333","12,747","19,391","24,458","11,337","8,005","4,938","15,534","13,924","30,493","9,600","39,195",0,"63,510"
11 Guanajuato,Total,50-54 años,"225,760","11,474","11,263","16,474","20,488","9,329","6,856","4,345","12,574","11,612","26,509","8,412","33,373",0,"53,051"
11 Guanajuato,Total,55-59 años,"174,400","9,989","9,069","13,788","16,511","7,484","5,305","3,319","9,285","8,791","20,194","6,518","25,154",0,"38,993"
11 Guanajuato,Total,60-64 años,"140,229","8,527","7,524","11,379","13,490","5,884","4,311","2,713","7,046","7,145","16,243","5,117","19,908",0,"30,942"
11 Guanajuato,Total,65-69 años,"105,229","7,249","6,697","9,458","11,239","4,798","3,315","2,164","5,252","5,244","11,702","3,551","13,481",0,"21,079"
11 Guanajuato,Total,70-74 años,"86,650","6,666","6,071","8,690","10,150","4,282","3,015","1,863","4,376","4,316","9,385","2,687","9,960",0,"15,189"
11 Guanajuato,Total,75-79 años,"60,341","4,823","4,250","6,242","7,029","3,087","2,100","1,309","3,084","3,108","6,758","1,784","6,706",0,"10,061"
11 Guanajuato,Total,80-84 años,"42,362","3,435","3,094","4,425","4,918","2,187","1,489",918,"2,329","2,233","4,627","1,166","4,627",0,"6,914"
11 Guanajuato,Total,85-89 años,"24,163","2,086","1,841","2,607","2,952","1,167",862,536,"1,272","1,228","2,566",652,"2,555",0,"3,839"
11 Guanajuato,Total,90-94 años,"8,603",706,591,896,"1,006",394,311,198,454,471,968,229,934,0,"1,445"
11 Guanajuato,Total,95-99 años,"3,588",265,252,411,458,203,155,88,202,179,396,84,375,0,520
11 Guanajuato,Total,100 años y más,766,65,52,94,97,36,30,14,53,40,81,23,79,0,102
11 Guanajuato,Total,No especificado,"31,153",573,532,"1,016",895,594,665,181,"2,274","1,284","5,636","1,274","8,304",0,"7,925"
11 Guanajuato,Hombres,Total,"2,639,425","154,457","148,136","213,969","272,698","121,316","83,248","47,585","152,419","138,096","279,762","77,526","346,580",0,"603,633"
11 Guanajuato,Hombres,00-04 años,"277,260","17,645","17,564","24,695","31,330","13,555","9,131","5,074","16,556","14,984","27,146","6,684","33,181",0,"59,715"
11 Guanajuato,Hombres,05-09 años,"293,697","18,595","17,969","25,627","32,368","14,140","9,648","5,342","17,676","15,662","29,167","7,234","35,716",0,"64,553"
11 Guanajuato,Hombres,10-14 años,"293,612","19,355","18,363","25,823","32,059","13,810","9,508","5,275","16,824","15,426","29,381","7,427","36,003",0,"64,358"
11 Guanajuato,Hombres,15-19 años,"281,501","17,648","17,130","23,993","30,350","13,163","9,204","5,246","15,770","14,597","28,992","7,455","34,886",0,"63,067"
11 Guanajuato,Hombres,20-24 años,"230,992","12,213","11,782","17,453","23,229","10,574","7,091","4,161","13,196","12,003","25,809","6,932","31,218",0,"55,331"
11 Guanajuato,Hombres,25-29 años,"196,248","9,654","9,717","14,194","19,590","9,025","5,826","3,149","11,408","10,372","21,204","5,749","26,849",0,"49,511"
11 Guanajuato,Hombres,30-34 años,"187,888","9,461","9,536","13,818","18,863","8,539","5,728","3,109","11,478","10,089","19,892","5,756","25,373",0,"46,246"
11 Guanajuato,Hombres,35-39 años,"181,162","8,914","8,827","13,103","17,360","7,990","5,468","3,082","10,932","9,630","19,474","5,829","25,777",0,"44,776"
11 Guanajuato,Hombres,40-44 años,"150,828","7,499","7,125","10,400","13,744","6,443","4,574","2,681","8,926","7,833","16,822","5,233","21,734",0,"37,814"
11 Guanajuato,Hombres,45-49 años,"123,887","6,239","5,751","8,930","11,420","5,256","3,670","2,226","7,203","6,433","14,000","4,526","18,274",0,"29,959"
11 Guanajuato,Hombres,50-54 años,"105,052","5,371","5,191","7,592","9,486","4,391","3,148","2,042","5,912","5,445","12,212","3,912","15,248",0,"25,102"
11 Guanajuato,Hombres,55-59 años,"82,431","4,795","4,304","6,605","7,875","3,547","2,565","1,574","4,377","4,097","9,410","3,095","11,813",0,"18,374"
11 Guanajuato,Hombres,60-64 años,"65,751","4,156","3,586","5,401","6,394","2,857","2,018","1,242","3,285","3,322","7,395","2,366","9,212",0,"14,517"
11 Guanajuato,Hombres,65-69 años,"49,694","3,638","3,255","4,561","5,435","2,310","1,550","1,031","2,489","2,365","5,321","1,665","6,213",0,"9,861"
11 Guanajuato,Hombres,70-74 años,"40,438","3,331","2,946","4,221","4,903","2,034","1,444",862,"1,986","1,971","4,186","1,258","4,425",0,"6,871"
11 Guanajuato,Hombres,75-79 años,"28,292","2,497","2,100","3,045","3,449","1,506",979,610,"1,423","1,446","2,986",872,"2,987",0,"4,392"
11 Guanajuato,Hombres,80-84 años,"19,159","1,711","1,491","2,126","2,321","1,023",723,417,"1,005",953,"1,932",516,"1,996",0,"2,945"
11 Guanajuato,Hombres,85-89 años,"10,738","1,006",863,"1,258","1,384",573,404,242,573,553,"1,075",257,"1,033",0,"1,517"
11 Guanajuato,Hombres,90-94 años,"3,616",310,252,413,461,178,143,89,181,194,388,93,349,0,565
11 Guanajuato,Hombres,95-99 años,"1,403",116,111,182,194,83,71,36,79,73,136,28,124,0,170
11 Guanajuato,Hombres,100 años y más,276,24,20,39,37,16,17,7,19,14,29,4,20,0,30
11 Guanajuato,Hombres,No especificado,"15,500",279,253,490,446,303,338,88,"1,121",634,"2,805",635,"4,149",0,"3,959"
11 Guanajuato,Mujeres,Total,"2,846,947","167,005","163,708","235,950","295,245","129,717","90,256","52,283","163,860","150,226","305,977","82,643","374,748",0,"635,329"
11 Guanajuato,Mujeres,00-04 años,"270,206","17,204","17,009","24,116","30,872","13,378","8,889","4,816","16,068","14,630","26,678","6,518","32,406",0,"57,622"
11 Guanajuato,Mujeres,05-09 años,"285,424","18,178","17,827","24,551","31,689","13,730","9,296","5,137","17,020","15,400","28,600","6,933","34,463",0,"62,600"
11 Guanajuato,Mujeres,10-14 años,"286,988","19,041","18,567","25,353","31,768","13,536","9,304","5,164","16,444","14,886","28,805","7,216","35,249",0,"61,655"
11 Guanajuato,Mujeres,15-19 años,"289,464","18,649","18,447","25,881","31,533","13,537","9,400","5,542","16,239","15,259","29,351","7,270","34,916",0,"63,440"
11 Guanajuato,Mujeres,20-24 años,"262,175","15,453","15,391","22,362","28,346","12,132","8,288","4,907","14,725","13,922","28,293","7,052","33,212",0,"58,092"
11 Guanajuato,Mujeres,25-29 años,"229,043","12,152","12,477","18,321","23,512","10,541","7,133","3,974","13,436","12,295","24,499","6,517","30,331",0,"53,855"
11 Guanajuato,Mujeres,30-34 años,"219,824","11,679","11,399","17,140","22,287","9,963","6,773","3,784","13,386","11,680","23,686","6,617","30,009",0,"51,421"
11 Guanajuato,Mujeres,35-39 años,"206,525","10,300","10,302","15,418","19,338","8,874","6,411","3,637","12,313","10,943","22,713","6,694","29,882",0,"49,700"
11 Guanajuato,Mujeres,40-44 años,"173,826","8,631","8,429","12,800","16,014","7,321","5,413","3,202","10,147","9,136","19,669","5,956","25,472",0,"41,636"
11 Guanajuato,Mujeres,45-49 años,"142,578","7,094","6,996","10,461","13,038","6,081","4,335","2,712","8,331","7,491","16,493","5,074","20,921",0,"33,551"
11 Guanajuato,Mujeres,50-54 años,"120,708","6,103","6,072","8,882","11,002","4,938","3,708","2,303","6,662","6,167","14,297","4,500","18,125",0,"27,949"
11 Guanajuato,Mujeres,55-59 años,"91,969","5,194","4,765","7,183","8,636","3,937","2,740","1,745","4,908","4,694","10,784","3,423","13,341",0,"20,619"
11 Guanajuato,Mujeres,60-64 años,"74,478","4,371","3,938","5,978","7,096","3,027","2,293","1,471","3,761","3,823","8,848","2,751","10,696",0,"16,425"
11 Guanajuato,Mujeres,65-69 años,"55,535","3,611","3,442","4,897","5,804","2,488","1,765","1,133","2,763","2,879","6,381","1,886","7,268",0,"11,218"
11 Guanajuato,Mujeres,70-74 años,"46,212","3,335","3,125","4,469","5,247","2,248","1,571","1,001","2,390","2,345","5,199","1,429","5,535",0,"8,318"
11 Guanajuato,Mujeres,75-79 años,"32,049","2,326","2,150","3,197","3,580","1,581","1,121",699,"1,661","1,662","3,772",912,"3,719",0,"5,669"
11 Guanajuato,Mujeres,80-84 años,"23,203","1,724","1,603","2,299","2,597","1,164",766,501,"1,324","1,280","2,695",650,"2,631",0,"3,969"
11 Guanajuato,Mujeres,85-89 años,"13,425","1,080",978,"1,349","1,568",594,458,294,699,675,"1,491",395,"1,522",0,"2,322"
11 Guanajuato,Mujeres,90-94 años,"4,987",396,339,483,545,216,168,109,273,277,580,136,585,0,880
11 Guanajuato,Mujeres,95-99 años,"2,185",149,141,229,264,120,84,52,123,106,260,56,251,0,350
11 Guanajuato,Mujeres,100 años y más,490,41,32,55,60,20,13,7,34,26,52,19,59,0,72
11 Guanajuato,Mujeres,No especificado,"15,653",294,279,526,449,291,327,93,"1,153",650,"2,831",639,"4,155",0,"3,966"
12 Guerrero,Total,Total,"3,388,768","288,302","262,325","395,146","471,147","266,646","227,007","71,143","230,097","78,132","119,625","305,719",0,"673,479",0
12 Guerrero,Total,00-04 años,"353,009","34,675","30,972","45,318","51,646","28,334","22,687","7,505","23,077","8,925","10,756","29,284",0,"59,830",0
12 Guerrero,Total,05-09 años,"378,197","37,494","34,100","50,025","56,727","31,203","24,353","7,645","24,064","9,128","11,268","29,996",0,"62,194",0
12 Guerrero,Total,10-14 años,"393,378","39,159","36,110","52,677","60,543","33,571","25,290","8,306","24,511","9,260","11,609","29,219",0,"63,123",0
12 Guerrero,Total,15-19 años,"372,191","33,930","30,829","46,536","54,370","30,989","24,280","7,819","24,888","9,432","12,375","32,319",0,"64,424",0
12 Guerrero,Total,20-24 años,"290,684","22,874","20,645","31,292","37,294","21,546","19,124","6,119","20,543","7,336","11,511","31,504",0,"60,896",0
12 Guerrero,Total,25-29 años,"237,815","17,432","16,122","23,970","29,891","17,115","16,008","4,822","17,261","6,207","9,972","25,922",0,"53,093",0
12 Guerrero,Total,30-34 años,"223,482","15,854","14,829","22,392","28,005","16,301","15,821","4,658","16,090","5,515","9,335","23,188",0,"51,494",0
12 Guerrero,Total,35-39 años,"211,923","14,747","13,751","21,208","26,439","15,342","14,882","4,313","15,067","4,709","9,050","21,555",0,"50,860",0
12 Guerrero,Total,40-44 años,"178,482","12,345","11,400","17,771","22,029","12,701","12,571","3,749","12,616","3,798","7,896","18,505",0,"43,101",0
12 Guerrero,Total,45-49 años,"158,413","11,013","10,441","16,265","19,904","11,547","11,071","3,277","11,283","3,390","6,693","15,813",0,"37,716",0
12 Guerrero,Total,50-54 años,"137,260","9,612","8,881","13,777","17,199","9,885","9,385","3,078","9,846","2,799","5,424","13,567",0,"33,807",0
12 Guerrero,Total,55-59 años,"110,858","8,472","7,681","11,985","14,858","8,647","7,389","2,541","7,800","1,903","3,989","9,388",0,"26,205",0
12 Guerrero,Total,60-64 años,"89,041","7,063","6,290","9,955","12,456","6,987","6,053","2,001","6,163","1,451","2,856","7,219",0,"20,547",0
12 Guerrero,Total,65-69 años,"72,733","6,523","5,647","8,905","11,297","6,266","4,992","1,519","4,824","1,155","2,076","5,220",0,"14,309",0
12 Guerrero,Total,70-74 años,"66,668","6,237","5,452","9,271","11,225","6,227","4,734","1,583","4,467",954,"1,636","4,014",0,"10,868",0
12 Guerrero,Total,75-79 años,"43,749","4,041","3,568","5,892","7,146","3,995","3,214",964,"3,077",645,"1,157","2,802",0,"7,248",0
12 Guerrero,Total,80-84 años,"26,491","2,410","2,217","3,489","4,317","2,328","2,046",593,"1,962",379,655,"1,823",0,"4,272",0
12 Guerrero,Total,85-89 años,"14,892","1,262","1,237","1,953","2,429","1,428","1,189",370,"1,117",256,380,"1,036",0,"2,235",0
12 Guerrero,Total,90-94 años,"5,898",569,521,773,992,572,496,124,429,99,135,428,0,760,0
12 Guerrero,Total,95-99 años,"2,810",297,271,394,517,282,218,58,193,33,59,168,0,320,0
12 Guerrero,Total,100 años y más,"1,186",151,131,205,223,114,74,27,74,17,14,47,0,109,0
12 Guerrero,Total,No especificado,"19,608","2,142","1,230","1,093","1,640","1,266","1,130",72,745,741,779,"2,702",0,"6,068",0
12 Guerrero,Hombres,Total,"1,645,561","144,408","129,615","193,311","229,364","129,174","109,990","34,512","110,338","36,830","58,001","145,272",0,"324,746",0
12 Guerrero,Hombres,00-04 años,"179,246","17,608","15,736","22,969","26,034","14,296","11,381","3,835","11,665","4,465","5,521","14,945",0,"30,791",0
12 Guerrero,Hombres,05-09 años,"191,053","18,992","17,210","25,015","28,623","15,690","12,264","3,930","12,199","4,704","5,623","15,101",0,"31,702",0
12 Guerrero,Hombres,10-14 años,"198,888","20,054","18,284","26,572","30,488","16,983","12,702","4,191","12,392","4,608","5,825","14,658",0,"32,131",0
12 Guerrero,Hombres,15-19 años,"184,645","17,247","15,510","23,240","26,858","15,153","12,096","3,914","12,181","4,465","6,223","15,804",0,"31,954",0
12 Guerrero,Hombres,20-24 años,"137,993","11,129","9,907","14,855","17,389","10,025","9,153","2,957","9,611","3,213","5,556","14,747",0,"29,451",0
12 Guerrero,Hombres,25-29 años,"111,428","8,434","7,678","11,216","14,120","7,979","7,387","2,228","7,897","2,747","4,754","11,865",0,"25,123",0
12 Guerrero,Hombres,30-34 años,"104,473","7,677","7,098","10,618","13,028","7,534","7,295","2,158","7,406","2,483","4,398","10,621",0,"24,157",0
12 Guerrero,Hombres,35-39 años,"99,320","7,138","6,575","10,106","12,498","7,225","6,957","2,031","6,909","2,089","4,316","9,642",0,"23,834",0
12 Guerrero,Hombres,40-44 años,"83,944","6,125","5,520","8,338","10,436","6,048","5,932","1,760","5,911","1,694","3,670","8,399",0,"20,111",0
12 Guerrero,Hombres,45-49 años,"73,976","5,293","4,928","7,689","9,200","5,464","5,237","1,467","5,210","1,548","3,140","7,256",0,"17,544",0
12 Guerrero,Hombres,50-54 años,"64,884","4,700","4,218","6,585","8,179","4,701","4,499","1,472","4,655","1,272","2,599","6,387",0,"15,617",0
12 Guerrero,Hombres,55-59 años,"53,232","4,173","3,785","5,854","7,212","4,163","3,631","1,201","3,740",936,"1,946","4,454",0,"12,137",0
12 Guerrero,Hombres,60-64 años,"42,136","3,441","3,081","4,727","6,008","3,274","2,834",960,"2,877",657,"1,375","3,371",0,"9,531",0
12 Guerrero,Hombres,65-69 años,"33,837","3,220","2,743","4,224","5,334","2,953","2,248",661,"2,181",514,956,"2,279",0,"6,524",0
12 Guerrero,Hombres,70-74 años,"31,228","3,192","2,640","4,445","5,433","2,844","2,214",726,"2,023",419,743,"1,745",0,"4,804",0
12 Guerrero,Hombres,75-79 años,"20,709","2,074","1,768","2,870","3,506","1,949","1,509",466,"1,406",289,492,"1,164",0,"3,216",0
12 Guerrero,Hombres,80-84 años,"12,278","1,204","1,110","1,683","2,105","1,058",966,254,901,172,256,792,0,"1,777",0
12 Guerrero,Hombres,85-89 años,"6,809",598,591,946,"1,164",684,574,173,513,116,153,412,0,885,0
12 Guerrero,Hombres,90-94 años,"2,667",280,248,382,454,264,221,58,184,48,51,192,0,285,0
12 Guerrero,Hombres,95-99 años,"1,244",147,136,177,234,138,95,24,86,14,18,73,0,102,0
12 Guerrero,Hombres,100 años y más,505,74,55,96,98,44,29,9,26,7,6,18,0,43,0
12 Guerrero,Hombres,No especificado,"11,066","1,608",794,704,963,705,766,37,365,370,380,"1,347",0,"3,027",0
12 Guerrero,Mujeres,Total,"1,743,207","143,894","132,710","201,835","241,783","137,472","117,017","36,631","119,759","41,302","61,624","160,447",0,"348,733",0
12 Guerrero,Mujeres,00-04 años,"173,763","17,067","15,236","22,349","25,612","14,038","11,306","3,670","11,412","4,460","5,235","14,339",0,"29,039",0
12 Guerrero,Mujeres,05-09 años,"187,144","18,502","16,890","25,010","28,104","15,513","12,089","3,715","11,865","4,424","5,645","14,895",0,"30,492",0
12 Guerrero,Mujeres,10-14 años,"194,490","19,105","17,826","26,105","30,055","16,588","12,588","4,115","12,119","4,652","5,784","14,561",0,"30,992",0
12 Guerrero,Mujeres,15-19 años,"187,546","16,683","15,319","23,296","27,512","15,836","12,184","3,905","12,707","4,967","6,152","16,515",0,"32,470",0
12 Guerrero,Mujeres,20-24 años,"152,691","11,745","10,738","16,437","19,905","11,521","9,971","3,162","10,932","4,123","5,955","16,757",0,"31,445",0
12 Guerrero,Mujeres,25-29 años,"126,387","8,998","8,444","12,754","15,771","9,136","8,621","2,594","9,364","3,460","5,218","14,057",0,"27,970",0
12 Guerrero,Mujeres,30-34 años,"119,009","8,177","7,731","11,774","14,977","8,767","8,526","2,500","8,684","3,032","4,937","12,567",0,"27,337",0
12 Guerrero,Mujeres,35-39 años,"112,603","7,609","7,176","11,102","13,941","8,117","7,925","2,282","8,158","2,620","4,734","11,913",0,"27,026",0
12 Guerrero,Mujeres,40-44 años,"94,538","6,220","5,880","9,433","11,593","6,653","6,639","1,989","6,705","2,104","4,226","10,106",0,"22,990",0
12 Guerrero,Mujeres,45-49 años,"84,437","5,720","5,513","8,576","10,704","6,083","5,834","1,810","6,073","1,842","3,553","8,557",0,"20,172",0
12 Guerrero,Mujeres,50-54 años,"72,376","4,912","4,663","7,192","9,020","5,184","4,886","1,606","5,191","1,527","2,825","7,180",0,"18,190",0
12 Guerrero,Mujeres,55-59 años,"57,626","4,299","3,896","6,131","7,646","4,484","3,758","1,340","4,060",967,"2,043","4,934",0,"14,068",0
12 Guerrero,Mujeres,60-64 años,"46,905","3,622","3,209","5,228","6,448","3,713","3,219","1,041","3,286",794,"1,481","3,848",0,"11,016",0
12 Guerrero,Mujeres,65-69 años,"38,896","3,303","2,904","4,681","5,963","3,313","2,744",858,"2,643",641,"1,120","2,941",0,"7,785",0
12 Guerrero,Mujeres,70-74 años,"35,440","3,045","2,812","4,826","5,792","3,383","2,520",857,"2,444",535,893,"2,269",0,"6,064",0
12 Guerrero,Mujeres,75-79 años,"23,040","1,967","1,800","3,022","3,640","2,046","1,705",498,"1,671",356,665,"1,638",0,"4,032",0
12 Guerrero,Mujeres,80-84 años,"14,213","1,206","1,107","1,806","2,212","1,270","1,080",339,"1,061",207,399,"1,031",0,"2,495",0
12 Guerrero,Mujeres,85-89 años,"8,083",664,646,"1,007","1,265",744,615,197,604,140,227,624,0,"1,350",0
12 Guerrero,Mujeres,90-94 años,"3,231",289,273,391,538,308,275,66,245,51,84,236,0,475,0
12 Guerrero,Mujeres,95-99 años,"1,566",150,135,217,283,144,123,34,107,19,41,95,0,218,0
12 Guerrero,Mujeres,100 años y más,681,77,76,109,125,70,45,18,48,10,8,29,0,66,0
12 Guerrero,Mujeres,No especificado,"8,542",534,436,389,677,561,364,35,380,371,399,"1,355",0,"3,041",0
13 Hidalgo,Total,Total,"2,665,018","220,276","247,517","340,415","465,570","290,964","223,093","102,204","263,759","152,230",0,"102,406","256,584",0,0
13 Hidalgo,Total,00-04 años,"255,202","21,871","25,388","34,777","47,111","29,099","20,652","9,615","24,013","13,811",0,"9,070","19,795",0,0
